prm_name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_age,0.665,0.09,0.497,0.844,0.004,0.003,690.0,712.0,1.01
b_diagnstroke,-0.857,0.184,-1.204,-0.477,0.006,0.004,1257.0,1467.0,1.01
b_dm,0.143,0.147,-0.131,0.442,0.001,0.001,15325.0,7713.0,1.0
b_earlyrest,0.291,0.416,-0.561,0.996,0.021,0.015,453.0,665.0,1.01
b_intercept,1.969,0.319,1.371,2.611,0.014,0.01,632.0,803.0,1.01
b_mrsprestroke[0],0.333,0.161,0.021,0.646,0.002,0.002,4856.0,4183.0,1.0
b_mrsprestroke[1],0.774,0.207,0.37,1.178,0.004,0.003,2680.0,1945.0,1.0
b_mrsprestroke[2],1.385,0.231,0.931,1.834,0.008,0.006,1074.0,1335.0,1.01
b_nihhs,0.865,0.097,0.694,1.062,0.005,0.003,568.0,627.0,1.01
b_sexmale,-0.403,0.127,-0.639,-0.141,0.002,0.002,3190.0,2909.0,1.0
country_mu[0],-0.612,0.603,-1.851,0.518,0.011,0.008,2794.0,4174.0,1.0
country_mu[1],-0.203,0.539,-1.249,0.874,0.005,0.004,9520.0,9828.0,1.0
country_mu[2],0.672,0.61,-0.485,1.929,0.006,0.005,11087.0,9273.0,1.0
country_mu[3],1.409,0.657,0.169,2.734,0.006,0.005,10682.0,9325.0,1.0
country_mu[4],-0.678,0.708,-2.049,0.713,0.006,0.005,13734.0,8859.0,1.0
country_mu[5],0.029,0.96,-1.797,1.975,0.006,0.01,22414.0,8669.0,1.0
country_mu[6],-0.067,0.738,-1.523,1.383,0.006,0.007,16910.0,8673.0,1.0
country_mu[7],-0.618,0.625,-1.802,0.648,0.007,0.005,9076.0,8786.0,1.0
country_mu[8],0.146,0.669,-1.271,1.396,0.006,0.006,12288.0,8354.0,1.0
country_threshold[0],-1.575,0.531,-2.633,-0.563,0.008,0.005,4881.0,6435.0,1.0
country_threshold[1],-0.7,0.397,-1.438,0.109,0.006,0.004,4449.0,6694.0,1.0
country_threshold[2],1.129,0.556,0.119,2.283,0.007,0.005,6580.0,8163.0,1.0
country_threshold[3],-0.527,0.388,-1.26,0.253,0.006,0.004,4508.0,6853.0,1.0
country_threshold[4],0.575,0.762,-0.796,2.16,0.007,0.006,12248.0,7980.0,1.0
country_threshold[5],-0.324,0.577,-1.438,0.853,0.006,0.005,8149.0,8501.0,1.0
country_threshold[6],0.72,0.72,-0.644,2.154,0.006,0.006,13461.0,8048.0,1.0
country_threshold[7],0.444,0.458,-0.436,1.345,0.006,0.004,5707.0,7629.0,1.0
country_threshold[8],0.922,0.669,-0.331,2.263,0.006,0.005,11307.0,8275.0,1.0
mu_treatment,-5.58,1.183,-7.927,-3.274,0.027,0.02,2009.0,3267.0,1.0
s_mu,0.408,0.182,0.111,0.77,0.003,0.002,5186.0,7440.0,1.0
s_threshold,2.961,0.883,1.479,4.721,0.012,0.008,5858.0,8488.0,1.0
s_u,0.529,0.372,0.0,1.199,0.023,0.016,298.0,522.0,1.02
